Publisher,ISSN,title,mode,APC,year
IOP,2631-7990,International Journal of Extreme Manufacturing,Fully open,$0,2023
IOP,1361-6420,Inverse Problems,Hybrid,"$3,075",2023
IOP,1755-1315,IOP Conference Series: Earth and Environmental Science***,Conf series,$0,2023
IOP,1757-899X,IOP Conference Series: Materials Science and Engineering***,Conf series,$0,2023
IOP,2633-1357,IOP SciNotes,Fully open,$675,2023
IOP,1347-4065,Japanese Journal of Applied Physics**,Hybrid,N/A,2023
IOP,1882-0786,Applied Physics Express**,Hybrid,N/A,2023
IOP,1752-7163,Journal of Breath Research,Hybrid,"$3,075",2023
IOP,1475-7516,Journal of Cosmology and Astroparticle Physics,Hybrid,"$3,045",2023
IOP,1748-0221,Journal of Instrumentation,Hybrid,"$3,045",2023
IOP,1361-6439,Journal of Micromechanics and Microengineering,Hybrid,"$3,075",2023
IOP,1741-2552,Journal of Neural Engineering,Hybrid,"$3,075",2023
IOP,2040-8986,Journal of Optics,Hybrid,"$3,075",2023
IOP,1751-8121,Journal of Physics A: Mathematical and Theoretical,Hybrid,"$3,075",2023
IOP,1361-6455,"Journal of Physics B: Atomic, Molecular and Optical Physics",Hybrid,"$3,075",2023
IOP,2399-6528,Journal of Physics Communications,Fully open,"$1,720",2023
IOP,1361-648X,Journal of Physics: Condensed Matter,Hybrid,"$3,075",2023
IOP,1742-6596,Journal of Physics: Conference Series***,Conf series,$0,2023
IOP,1361-6463,Journal of Physics D: Applied Physics,Hybrid,"$3,075",2023
IOP,1361-6471,Journal of Physics G: Nuclear and Particle Physics,Hybrid,"$3,075",2023
IOP,1361-6498,Journal of Radiological Protection,Hybrid,"$3,075",2023
IOP,2058-6140,Journal of Semiconductors*,Sub only,"$1,810",2023
IOP,1742-5468,Journal of Statistical Mechanics: Theory and Experiment,Hybrid,"$3,045",2023
IOP,1945-7111,Journal of the Electrochemical Society,Hybrid,"$1,785",2023
IOP,2632-072X,JPhys Complexity,Fully open,"$2,315",2023
IOP,2515-7655,JPhys Energy,Fully open,"$2,540",2023
IOP,2515-7639,JPhys Materials,Fully open,"$2,475",2023
IOP,2515-7647,JPhys Photonics,Fully open,"$2,405",2023
IOP,1555-6611,Laser Physics,Hybrid,"$3,075",2023
IOP,1612-202X,Laser Physics Letters,Hybrid,"$3,075",2023
IOP,2632-2153,Machine Learning: Science and Techonology,Fully open,"$2,405",2023
IOP,2633-4356,Materials for Quantum Technology,Fully open,"$2,565",2023
IOP,2752-5724,Materials Futures,Fully open,$0,2023
IOP,2053-1591,Materials Research Express,Fully open,"$1,790",2023
IOP,1361-6501,Measurement Science and Technology,Hybrid,"$3,075",2023
IOP,2050-6120,Methods and Applications in Fluorescence,Hybrid,"$3,075",2023
IOP,1681-7575,Metrologia,Hybrid,"$3,075",2023
IOP,1361-651X,Modelling and Simulation in Materials Science and Engineering,Hybrid,"$3,075",2023
IOP,2632-959X,Nano Express,Fully open,"$1,990",2023
IOP,2399-1984,Nano Futures,Hybrid,"$3,690",2023
IOP,1361-6528,Nanotechnology,Hybrid,"$3,075",2023
IOP,2634-4386,Neuromorphic Computing and Engineering,Fully open,"$2,700",2023
IOP,1367-2630,New Journal of Physics,Fully open,"$2,365",2023
IOP,1361-6544,Nonlinearity,Hybrid,"$3,075",2023
IOP,1741-4326,Nuclear Fusion,Fully open,"$2,400",2023
IOP,1402-4896,Physica Scripta,Hybrid,"$2,220",2023
IOP,1478-3975,Physical Biology,Hybrid,"$3,075",2023
IOP,1361-6552,Physics Education,Hybrid,"$3,075",2023
IOP,1361-6560,Physics in Medicine & Biology,Hybrid,"$3,075",2023
IOP,2058-7058,Physics World*,Sub only,N/A,2023
IOP,0953-8585,Physics World (print-only)*,Sub only,N/A,2023
IOP,1361-6579,Physiological Measurement,Hybrid,"$3,075",2023
IOP,2632-3338,The Planetary Science Journal**,Fully open,N/A,2023
IOP,1361-6587,Plasma Physics and Controlled Fusion,Hybrid,"$3,075",2023
IOP,2058-6272,Plasma Science and Technology,Hybrid,"$1,810",2023
IOP,1361-6595,Plasma Sources Science and Technology,Hybrid,"$3,075",2023
IOP,2516-1091,Progress in Biomedical Engineering,Hybrid,"$4,325",2023
IOP,2516-1083,Progress in Energy,Hybrid,"$4,325",2023
IOP,1538-3873,Publications of the Astronomical Society of the Pacific,Hybrid,"$3,075",2023
IOP,2058-9565,Quantum Science and Technology,Hybrid,"$3,690",2023
IOP,1361-6633,Reports on Progress in Physics*,Sub only,N/A,2023
IOP,2397-6209,Research in Astronomy and Astrophysics*,Sub only,N/A,2023
IOP,1361-6641,Semiconductor Science and Technology,Hybrid,"$3,075",2023
IOP,1361-665X,Smart Materials and Structures,Hybrid,"$3,075",2023
IOP,1361-6668,Superconductor Science and Technology,Hybrid,"$3,075",2023
IOP,2051-672X,Surface Topography: Metrology and Properties,Hybrid,"$3,075",2023
Cambridge,2056-7405,Journal of Agricultural and Applied Economics,Gold OA,"$1,670",2023
Cambridge,2326-3768,Advances in Archaeological Practice,Hybrid OA,"$3,255",2023
Cambridge,2325-5064,American Antiquity,Hybrid OA,"$3,255",2023
Cambridge,1748-5002,Annals of Actuarial Science,Hybrid OA,"$3,255",2023
Cambridge,2752-6402,"Africa Bibliography, Research and Documentation",Hybrid OA,"$3,255",2023
Cambridge,1932-0205,Asian Journal of Comparative Law,Hybrid OA,"$3,255",2023
Cambridge,2049-775X,Australian Journal of Environmental Education,Gold OA,"$3,255",2023
Cambridge,2059-6464,The Aeronautical Journal,Hybrid OA,"$2,955",2023
Cambridge,1757-1642,Africa Bibliography,No OA,N/A,2023
Cambridge,1469-5138,Journal of African History,Hybrid OA,"$3,255",2023
Cambridge,1750-0184,Africa,Hybrid OA,"$3,255",2023
Cambridge,2372-2614,Agricultural and Resource Economics Review,Gold OA,"$1,625",2023
Cambridge,1469-5146,Journal of Agricultural Science ,Hybrid OA,"$3,255",2023
Cambridge,1475-2654,Animal Health Research Reviews,Hybrid OA,"$3,255",2023
Cambridge,1953-8146,"Annales. Histoire, Sciences Sociales",No OA,N/A,2023
Cambridge,1558-5255,Austrian History Yearbook ,Hybrid OA,"$3,255",2023
Cambridge,1469-1760,AI EDAM,Hybrid OA,"$3,255",2023
Cambridge,2161-7953,American Journal of International Law,Hybrid OA,"$3,255",2023
Cambridge,2044-2521,Asian Journal of International Law,Hybrid OA,"$3,255",2023
Cambridge,2398-7723,AJIL Unbound,Gold OA no APC,$0,2023
Cambridge,2059-7525,Art Libraries Journal,Hybrid OA,"$3,255",2023
Cambridge,2052-9023,Asian Journal of Law and Society,Hybrid OA,"$3,255",2023
Cambridge,2375-835X,American Journal of Law & Medicine,Hybrid OA,"$3,255",2023
Cambridge,2169-1118,Proceedings of the ASIL Annual Meeting ,Hybrid OA,"$3,255",2023
Cambridge,1469-5154,Journal of American Studies,Hybrid OA,"$3,255",2023
Cambridge,2268-3763,"Annales. Histoire, Sciences Sociales: English Edition",No OA,N/A,2023
Cambridge,2048-0849,Anatolian Studies,Hybrid OA,"$3,255",2023
Cambridge,2056-8819,Antichthon,Hybrid OA,"$3,255",2023
Cambridge,1365-2079,Antarctic Science,Hybrid OA,"$3,255",2023
Cambridge,1758-5309,Antiquaries Journal,Hybrid OA,"$3,255",2023
Cambridge,1474-0508,Acta Numerica,Hybrid OA,"$3,255",2023
Cambridge,1446-8735,ANZIAM Journal,Hybrid OA,"$3,255",2023
Cambridge,1727-5644,Annals of Glaciology,Gold OA,"$1,815",2023
Cambridge,2053-4485,Journal of the American Philosophical Association,Hybrid OA,"$3,255",2023
Cambridge,1471-6356,Annual Review of Applied Linguistics,Hybrid OA,"$3,255",2023
Cambridge,1475-6064,Advances in Applied Probability,No OA,N/A,2023
Cambridge,1469-1817,Applied Psycholinguistics,Hybrid OA,"$3,255",2023
Cambridge,1745-1744,Antiquity,Hybrid OA,"$3,255",2023
Cambridge,1478-2294,Archaeological Dialogues,Hybrid OA,"$3,255",2023
Cambridge,2041-4102,Archaeological Reports,Hybrid OA,"$3,255",2023
Cambridge,2059-5670,Architectural History,Hybrid OA,"$3,255",2023
Cambridge,1474-0516,arq: Architectural Research Quarterly,Hybrid OA,"$3,255",2023
Cambridge,1783-1350,ASTIN Bulletin: The Journal of the IAA,Hybrid OA,"$3,255",2023
Cambridge,1474-0532,Anglo-Saxon England,Hybrid OA,"$3,255",2023
Cambridge,2732-494X,Antimicrobial Stewardship & Healthcare Epidemiology,Gold OA,"$2,200",2023
Cambridge,1479-5922,International Journal of Asian Studies,Hybrid OA,"$3,255",2023
Cambridge,1469-1779,Ageing & Society,Hybrid OA,"$3,255",2023
Cambridge,1474-0524,Arabic Sciences and Philosophy,Hybrid OA,"$3,255",2023
Cambridge,1555-2462,African Studies Review,Hybrid OA,"$3,255",2023
Cambridge,1469-8099,Modern Asian Studies,Hybrid OA,"$3,255",2023
Cambridge,1745-5278,Journal of Anglican Studies,Hybrid OA,"$3,255",2023
Cambridge,2045-2403,Annual of the British School at Athens,Hybrid OA,"$3,255",2023
Cambridge,1469-1787,Ancient Mesoamerica,Hybrid OA,"$3,255",2023
Cambridge,2054-1538,Animal Welfare,Gold OA,"$3,255",2023
Cambridge,2044-0456,British Actuarial Journal,Gold OA no APC,$0,2023
Cambridge,1469-3569,Business and Politics,Hybrid OA,"$3,255",2023
Cambridge,1755-1633,Bulletin of the Australian Mathematical Society,Hybrid OA,"$3,255",2023
Cambridge,1469-1825,Behavioral and Brain Sciences,No OA,N/A,2023
Cambridge,2152-2812,Journal of Benefit-Cost Analysis,Hybrid OA,"$3,255",2023
Cambridge,2055-7981,British Catholic History,Hybrid OA,"$3,255",2023
Cambridge,1474-0001,Bird Conservation International,Hybrid OA,"$3,255",2023
Cambridge,1496-4287,Canadian Mathematical Bulletin,Hybrid OA,"$3,255",2023
Cambridge,1469-1833,Behavioural and Cognitive Psychotherapy,Hybrid OA,"$3,255",2023
Cambridge,2049-7768,Behaviour Change,Hybrid OA,"$3,255",2023
Cambridge,2153-3326,Business Ethics Quarterly,Hybrid OA,"$3,255",2023
Cambridge,1475-2670,Bulletin of Entomological Research,Hybrid OA,"$3,255",2023
Cambridge,2057-0201,Business and Human Rights Journal,Hybrid OA,"$3,255",2023
Cambridge,2044-768X,Business History Review,Hybrid OA,"$3,255",2023
Cambridge,1469-1841,Bilingualism: Language and Cognition,Hybrid OA,"$3,255",2023
Cambridge,1839-5252,Brain Impairment,Hybrid OA,"$3,255",2023
Cambridge,2056-4686,BJPsych Advances,Hybrid OA,"$2,256",2023
Cambridge,2056-4708,BJPsych Bulletin,Gold OA no APC,$0,2023
Cambridge,1474-001X,British Journal for the History of Science,Hybrid OA,"$3,255",2023
Cambridge,2058-6264,BJPsych International,Gold OA no APC,$0,2023
Cambridge,1475-2662,British Journal of Nutrition,Hybrid OA,"$3,255",2023
Cambridge,2056-4724,BJPsych Open,Gold OA,"$3,255",2023
Cambridge,1472-1465,British Journal of Psychiatry,Hybrid OA,"$4,920",2023
Cambridge,2056-354X,BJHS Themes,Gold OA,"$3,255",2023
Cambridge,2633-903X,Biological Imaging,Gold OA,"$3,255",2023
Cambridge,1469-2104,British Journal of Music Education,Hybrid OA,"$3,255",2023
Cambridge,2398-0648,Behavioural Public Policy,Hybrid OA,"$3,255",2023
Cambridge,1753-5352,Britannia,Hybrid OA,"$3,255",2023
Cambridge,1943-5894,Bulletin of Symbolic Logic,Hybrid OA,"$3,255",2023
Cambridge,1474-0699,Bulletin of the School of Oriental and African Studies,Hybrid OA,"$3,255",2023
Cambridge,1749-625X,Byzantine and Modern Greek Studies,Hybrid OA,"$3,255",2023
Cambridge,1474-0540,Cambridge Archaeological Journal,Hybrid OA,"$3,255",2023
Cambridge,1911-0820,Canadian Journal of Philosophy,Hybrid OA,"$3,255",2023
Cambridge,1471-6844,Classical Quarterly,Hybrid OA,"$3,255",2023
Cambridge,1464-3561,Classical Review,Hybrid OA,"$3,255",2023
Cambridge,1754-470X,Cognitive Behaviour Therapist,Hybrid OA,"$3,255",2023
Cambridge,1569-1616,Central European History,Hybrid OA,"$3,255",2023
Cambridge,2047-993X,Cambridge Classical Journal,Hybrid OA,"$3,255",2023
Cambridge,1469-2171,Contemporary European History,Hybrid OA,"$3,255",2023
Cambridge,2049-7636,Cambridge Yearbook of European Legal Studies,Hybrid OA,"$3,255",2023
Cambridge,1755-2613,Church History,Hybrid OA,"$3,255",2023
Cambridge,1710-1107,Canadian Journal on Aging / La Revue canadienne du vieillissement,Hybrid OA,"$3,255",2023
Cambridge,2056-4260,Canadian Journal of Law & Jurisprudence,Hybrid OA,"$3,255",2023
Cambridge,1496-4279,Canadian Journal of Mathematics,Hybrid OA,"$3,255",2023
Cambridge,2057-0155,Canadian Journal of Neurological Sciences,Hybrid OA,"$3,255",2023
Cambridge,1744-9324,Canadian Journal of Political Science/Revue canadienne de science politique,Hybrid OA,"$3,161",2023
Cambridge,1469-2139,Cambridge Law Journal,Hybrid OA,"$3,255",2023
Cambridge,1471-8030,Clay Minerals,Hybrid OA,"$3,255",2023
Cambridge,1911-0227,Canadian Journal of Law & Society / La Revue Canadienne Droit et Société,Gold OA,"$3,255",2023
Cambridge,1710-1115,Canadian Journal of Linguistics/Revue canadienne de linguistique,Hybrid OA,"$3,255",2023
Cambridge,2165-6509,CNS Spectrums,Hybrid OA,"$3,255",2023
Cambridge,1570-5846,Compositio Mathematica,Hybrid OA,"$3,180",2023
Cambridge,1469-218X,Continuity and Change,Hybrid OA,"$3,255",2023
Cambridge,1469-2163,"Combinatorics, Probability and Computing",Hybrid OA,"$3,255",2023
Cambridge,2753-2712,Critical Pakistan Studies,Gold OA,"$3,255",2023
Cambridge,1469-2147,Cambridge Quarterly of Healthcare Ethics,Hybrid OA,"$3,255",2023
Cambridge,1468-2648,China Quarterly   ,Hybrid OA,"$3,255",2023
Cambridge,2398-676X,International Annals of Criminology,Hybrid OA,"$3,255",2023
Cambridge,1475-2999,Comparative Studies in Society and History,Hybrid OA,"$3,255",2023
Cambridge,2059-8661,Journal of Clinical and Translational Science,Gold OA,"$2,250",2023
Cambridge,1467-1107,Cardiology in the Young,Hybrid OA,"$3,255",2023
Cambridge,1925-0169,Canadian Yearbook of International Law / Annuaire canadien de droit international,Hybrid OA,"$3,255",2023
Cambridge,2632-3249,Data & Policy,Gold OA,"$1,890",2023
Cambridge,1469-7629,Journal of Dairy Research  ,Hybrid OA,"$2,980",2023
Cambridge,1742-0598,Du Bois Review: Social Science Research on Race,Hybrid OA,"$3,255",2023
Cambridge,2632-6736,Data-Centric Engineering,Gold OA,"$2,500",2023
Cambridge,2054-0906,Journal of Demographic Economics,Hybrid OA,"$3,255",2023
Cambridge,1759-0949,Dialogue: Canadian Philosophical Review / Revue canadienne de philosophie,Hybrid OA,"$3,255",2023
Cambridge,1938-744X,Disaster Medicine and Public Health Preparedness,Hybrid OA,"$3,255",2023
Cambridge,2040-1752,Journal of Developmental Origins of Health and Disease,Hybrid OA,"$3,255",2023
Cambridge,1469-2198,Development and Psychopathology,Hybrid OA,"$3,255",2023
Cambridge,1940-509X,Dance Research Journal              ,Hybrid OA,"$3,255",2023
Cambridge,2053-4701,Design Science,Gold OA,"$3,255",2023
Cambridge,1741-2722,European Journal of Archaeology,Hybrid OA,"$3,255",2023
Cambridge,2325-2324,Early China,Hybrid OA,"$3,255",2023
Cambridge,1469-4441,Experimental Agriculture ,Hybrid OA,"$3,255",2023
Cambridge,1474-0028,Economics & Philosophy,Hybrid OA,"$3,255",2023
Cambridge,1469-7637,Journal of Ecclesiastical History,Hybrid OA,"$3,255",2023
Cambridge,1744-5515,European Constitutional Law Review,Hybrid OA,"$3,255",2023
Cambridge,1478-5714,Eighteenth-Century Music,Hybrid OA,"$3,255",2023
Cambridge,1469-4360,Econometric Theory,Hybrid OA,"$3,255",2023
Cambridge,1469-4395,Environment and Development Economics,Hybrid OA,"$3,255",2023
Cambridge,2634-4602,Environmental Data Science,Gold OA,"$2,500",2023
Cambridge,2513-843X,Evolutionary Human Sciences,Gold OA,"$3,255",2023
Cambridge,1747-7093,Ethics & International Affairs,Hybrid OA,"$3,255",2023
Cambridge,2057-5645,European Journal of International Security,Hybrid OA,"$3,255",2023
Cambridge,1469-4425,European Journal of Applied Mathematics,Hybrid OA,"$3,255",2023
Cambridge,1751-8539,Ecclesiastical Law Journal,Hybrid OA,"$3,255",2023
Cambridge,1469-4379,English Language & Linguistics,Hybrid OA,"$3,255",2023
Cambridge,2752-6135,European Law Open,Gold OA,"$3,255",2023
Cambridge,1838-2673,Economic and Labour Relations Review,Hybrid OA,"$3,255",2023
Cambridge,1474-0559,Early Music History,Hybrid OA,"$3,255",2023
Cambridge,1469-4387,Environmental Conservation,Hybrid OA,"$3,255",2023
Cambridge,1474-0567,English Today,Hybrid OA,"$3,255",2023
Cambridge,1778-3585,European Psychiatry,Gold OA,"$2,785",2023
Cambridge,1750-0117,Episteme,Gold OA,"$3,255",2023
Cambridge,1755-7747,European Political Science Review,Hybrid OA,"$3,255",2023
Cambridge,2045-7979,Epidemiology and Psychiatric Sciences,Gold OA,"$3,255",2023
Cambridge,1462-3994,Expert Reviews in Molecular Medicine,Hybrid OA,"$3,255",2023
Cambridge,2190-8249,European Journal of Risk Regulation,Hybrid OA,"$3,255",2023
Cambridge,1474-0575,European Review,Hybrid OA,"$3,255",2023
Cambridge,1467-2235,Enterprise & Society,Hybrid OA,"$3,255",2023
Cambridge,1469-4417,Ergodic Theory and Dynamical Systems,Hybrid OA,"$3,255",2023
Cambridge,1474-0583,European Journal of Sociology / Archives Européennes de Sociologie,Hybrid OA,"$3,255",2023
Cambridge,2516-712X,Experimental Results,Gold OA,$985,2023
Cambridge,1474-0052,Financial History Review,Hybrid OA,"$3,255",2023
Cambridge,1469-7645,Journal of Fluid Mechanics,Hybrid OA,"$3,255",2023
Cambridge,2633-4259,Flow: Applications of Fluid Mechanics,Gold OA,"$2,575",2023
Cambridge,2753-3212,Journal of Financial Literacy and Wellbeing,Gold OA,"$3,255",2023
Cambridge,2050-5086,"Forum of Mathematics, Pi",Gold OA,"$1,500",2023
Cambridge,2050-5094,"Forum of Mathematics, Sigma",Gold OA,"$1,500",2023
Cambridge,1477-4550,Greece & Rome,Hybrid OA,"$3,255",2023
Cambridge,2045-3825,Global Constitutionalism,Hybrid OA,"$3,255",2023
Cambridge,1469-5081,Geological Magazine ,Hybrid OA,"$3,255",2023
Cambridge,2071-8322,German Law Journal ,Gold OA,"$1,400",2023
Cambridge,2632-2897,Gut Microbiome,Gold OA,"$3,255",2023
Cambridge,1469-509X,Glasgow Mathematical Journal,Hybrid OA,"$3,255",2023
Cambridge,1477-7053,Government and Opposition,Hybrid OA,"$3,255",2023
Cambridge,1744-134X,"Health Economics, Policy and Law",Hybrid OA,"$3,255",2023
Cambridge,1748-5959,History of Education Quarterly,Hybrid OA,"$3,255",2023
Cambridge,1469-9656,Journal of the History of Economic Thought,Hybrid OA,"$3,255",2023
Cambridge,2051-5375,Hegel Bulletin,Hybrid OA,"$3,255",2023
Cambridge,1558-2744,History in Africa,Hybrid OA,"$3,255",2023
Cambridge,1469-5103,Historical Journal,Hybrid OA,"$3,255",2023
Cambridge,2050-8557,Horizons,Hybrid OA,"$3,255",2023
Cambridge,2052-3289,High Power Laser Science and Engineering ,Gold OA,"$2,955",2023
Cambridge,1475-4517,Harvard Theological Review,Hybrid OA,"$3,255",2023
Cambridge,1469-4409,Epidemiology & Infection,Gold OA,"$3,255",2023
Cambridge,1527-2001,Hypatia,Hybrid OA,"$3,255",2023
Cambridge,1743-9221,Proceedings of the International Astronomical Union  ,Hybrid OA,"$2,954",2023
Cambridge,1559-6834,Infection Control & Hospital Epidemiology,Hybrid OA,"$3,255",2023
Cambridge,2169-978X,Journal of International and Comparative Social Policy,Hybrid OA,"$3,255",2023
Cambridge,2056-4139,Irish Historical Studies,Hybrid OA,"$3,255",2023
Cambridge,1475-3006,International Journal of Astrobiology,Hybrid OA,"$3,255",2023
Cambridge,1744-5531,International  Journal of Law in Context,Hybrid OA,"$3,255",2023
Cambridge,1930-6571,International Legal Materials,Hybrid OA,"$3,255",2023
Cambridge,1471-6895,International & Comparative Law Quarterly,Hybrid OA,"$3,255",2023
Cambridge,1471-6445,International Labor and Working-Class History,Hybrid OA,"$3,255",2023
Cambridge,1531-5088,International Organization,Hybrid OA,"$3,255",2023
Cambridge,1939-747X,Invasive Plant Science and Management,Hybrid OA,"$2,800",2023
Cambridge,1469-7661,Journal of the International Neuropsychological Society,Hybrid OA,"$3,255",2023
Cambridge,1752-9727,International Theory,Hybrid OA,"$3,255",2023
Cambridge,1754-9434,Industrial and Organizational Psychology,Hybrid OA,"$3,162",2023
Cambridge,1475-3502,Journal of the International Phonetic Association,Hybrid OA,"$3,255",2023
Cambridge,1741-203X,International Psychogeriatrics  ,Hybrid OA,"$3,255",2023
Cambridge,2051-6967,Irish Journal of Psychological Medicine,Hybrid OA,"$3,255",2023
Cambridge,2057-4908,Italian Political Science Review / Rivista Italiana di Scienza Politica,Hybrid OA,"$3,255",2023
Cambridge,1607-5889,International Review of the Red Cross,Hybrid OA,"$3,255",2023
Cambridge,1475-4819,Iranian Studies,Hybrid OA,"$3,255",2023
Cambridge,2053-4744,IRAQ,No OA,N/A,2023
Cambridge,1469-512X,International Review of Social History,Hybrid OA,"$3,255",2023
Cambridge,2047-9336,Israel Law Review,Hybrid OA,"$3,255",2023
Cambridge,2041-2827,Itinerario,Hybrid OA,"$3,255",2023
Cambridge,1464-3731,Journal of African Law,Hybrid OA,"$3,255",2023
Cambridge,1446-8107,Journal of the Australian Mathematical Society,Hybrid OA,"$3,255",2023
Cambridge,1545-6986,Journal of British Studies,Hybrid OA,"$3,255",2023
Cambridge,1469-7599,Journal of Biosocial Science,Hybrid OA,"$3,255",2023
Cambridge,2059-1640,Journal of Chinese History,Hybrid OA,"$3,255",2023
Cambridge,1469-7602,Journal of Child Language,Hybrid OA,"$3,255",2023
Cambridge,1465-7317,International Journal of Cultural Property,Hybrid OA,"$3,255",2023
Cambridge,2058-6310,Journal of Classics Teaching,Gold OA no APC,$0,2023
Cambridge,1930-2975,Judgment and Decision Making,Gold OA,"$3,255",2023
Cambridge,2234-6643,Journal of East Asian Studies,Hybrid OA,"$3,255",2023
Cambridge,1471-6372,Journal of Economic History,Hybrid OA,"$3,255",2023
Cambridge,1474-0079,Journal of French Language Studies,Hybrid OA,"$3,255",2023
Cambridge,1469-7653,Journal of Functional Programming,Gold OA,"$1,705",2023
Cambridge,1756-6916,Journal of Financial and Quantitative Analysis,Hybrid OA,"$3,255",2023
Cambridge,1943-3557,Journal of the Gilded Age and Progressive Era,Hybrid OA,"$3,255",2023
Cambridge,2055-6373,Journal of Psychologists and Counsellors in Schools,Hybrid OA,"$3,255",2023
Cambridge,1740-0236,Journal of Global History,Hybrid OA,"$3,255",2023
Cambridge,1475-3014,Journal of Germanic Linguistics,Hybrid OA,"$3,255",2023
Cambridge,1475-2697,Journal of Helminthology ,Hybrid OA,"$3,255",2023
Cambridge,2041-4099,Journal of Hellenic Studies,Hybrid OA,"$3,255",2023
Cambridge,1474-0060,Japanese Journal of Political Science,Hybrid OA,"$3,255",2023
Cambridge,2164-6589,Journal of Law and Courts,Hybrid OA,"$3,255",2023
Cambridge,2049-7547,Journal of Linguistic Geography,Hybrid OA,"$3,255",2023
Cambridge,2331-4117,International Journal of Legal Information,Hybrid OA,"$3,255",2023
Cambridge,1748-5460,Journal of Laryngology & Otology ,Hybrid OA,"$3,255",2023
Cambridge,2163-3088,Journal of Law and Religion,Hybrid OA,"$3,255",2023
Cambridge,1748-720X,"Journal of Law, Medicine & Ethics",Hybrid OA,"$3,255",2023
Cambridge,1475-3030,Journal of the Institute of Mathematics of Jussieu,Hybrid OA,"$3,255",2023
Cambridge,1839-3527,Journal of Management & Organization,Hybrid OA,"$3,255",2023
Cambridge,2048-6790,Journal of Nutritional Science,Gold OA,"$2,080",2023
Cambridge,1727-5652,Journal of Glaciology,Gold OA,"$1,815",2023
Cambridge,1744-1382,Journal of Institutional Economics,Hybrid OA,"$3,255",2023
Cambridge,1937-2337,Journal of Paleontology,Hybrid OA,"$2,600",2023
Cambridge,1528-4190,Journal of Policy History,Hybrid OA,"$3,255",2023
Cambridge,1475-6072,Journal of Applied Probability ,No OA,N/A,2023
Cambridge,1469-2112,British Journal of Political Science,Hybrid OA,"$3,255",2023
Cambridge,1474-0591,Journal of the Royal Asiatic Society,Hybrid OA,"$3,255",2023
Cambridge,2331-5709,Journal of Roman Archaeology,Hybrid OA,"$3,255",2023
Cambridge,1467-1131,Journal of Radiotherapy in Practice,Hybrid OA,"$3,255",2023
Cambridge,1753-528X,Journal of Roman Studies,Hybrid OA,"$3,255",2023
Cambridge,2515-074X,Australasian Journal of Special and Inclusive Education,Hybrid OA,"$3,255",2023
Cambridge,1943-5886,Journal of Symbolic Logic,Hybrid OA,"$3,255",2023
Cambridge,1469-7823,Journal of Social Policy,Hybrid OA,"$3,255",2023
Cambridge,1931-437X,Journal of Wine Economics ,Gold OA,"$3,255",2023
Cambridge,1469-8005,Knowledge Engineering Review,Hybrid OA,"$3,255",2023
Cambridge,2044-2394,Kantian Review,Hybrid OA,"$3,255",2023
Cambridge,1548-2456,Latin American Politics and Society,Hybrid OA,"$3,255",2023
Cambridge,2325-5080,Latin American Antiquity,Hybrid OA,"$3,255",2023
